id,data,model,score
72,XSUM,PG,-0.7518493259769702
2,XSUM,BERT,-1.4135078328984771
74,XSUM,PG,0.29146336461882444
48,XSUM,BERT,-0.24759704112649591
49,XSUM,PG,-1.2094818187157086
44,XSUM,PG,-1.628864300069648
126,XSUM,BERT,1.4584029996790686
64,XSUM,BERT,-0.8099408663580324
64,XSUM,PG,-1.2512876634524497
54,XSUM,PG,-0.7549916688159607
105,XSUM,BERT,0.8311583748484447
17,XSUM,BERT,-0.990937591061166
22,XSUM,PG,0.2732232192958876
14,XSUM,BERT,-0.15199469345994157
31,XSUM,BERT,-0.8751166649705496
75,XSUM,PG,-0.39976574061402165
0,XSUM,BERT,0.7777442743284698
102,XSUM,BERT,1.2730238272858438
95,XSUM,BERT,-0.19556179153790776
1,XSUM,BERT,-0.27154658401444404
8,XSUM,PG,-1.76346209205163
59,XSUM,PG,0.08195192667728983
62,XSUM,PG,-0.9165544368387201
109,XSUM,BERT,-1.0704928570651713
103,XSUM,PG,-1.2652394390969848
119,XSUM,PG,-0.17124179636776724
45,XSUM,BERT,-1.2432345622758696
86,XSUM,BERT,1.0283949659302072
48,XSUM,PG,-0.9697861978585566
15,XSUM,BERT,-1.1552150549914086
92,XSUM,BERT,-0.41786212957964947
124,XSUM,BERT,-0.45086944481132224
101,XSUM,PG,-1.2432345622758696
37,XSUM,PG,-0.9604077360032109
22,XSUM,BERT,-0.714927966664705
20,XSUM,PG,-1.1552150549914086
61,XSUM,BERT,-0.1320958441295695
4,XSUM,PG,-0.2897706271347458
54,XSUM,BERT,-0.6747120604289264
82,XSUM,BERT,1.237806811201453
72,XSUM,BERT,0.014555828682717506
121,XSUM,BERT,-0.03778949149884784
20,XSUM,BERT,-0.5240926662787736
26,XSUM,PG,0.6240014614721526
33,XSUM,PG,-0.9769344057909892
31,XSUM,PG,-1.2343097764494633
83,XSUM,PG,-0.04405857866307964
43,XSUM,PG,-0.6305558057391852
4,XSUM,BERT,0.02596293029615726
50,XSUM,PG,0.5987896909874978
108,XSUM,BERT,1.0676191433379574
132,XSUM,BERT,0.10795053471453707
87,XSUM,PG,-0.9524781579382963
77,XSUM,PG,0.7153564094685355
120,XSUM,BERT,-0.475213406343063
39,XSUM,PG,-0.5987535842591305
114,XSUM,BERT,0.1491305940198929
24,XSUM,PG,-0.5860424604153239
40,XSUM,BERT,0.8519684947935454
100,XSUM,BERT,-0.6095932618941754
66,XSUM,BERT,0.7804480538178785
78,XSUM,BERT,-1.5053017173255852
107,XSUM,BERT,-0.6095932618941754
110,XSUM,BERT,0.8824927557074265
9,XSUM,PG,-1.4727826844204506
52,XSUM,PG,-1.2343097764494633
107,XSUM,PG,-0.22334965530987513
6,XSUM,PG,-0.8088926131782567
99,XSUM,BERT,-0.4213339538210968
44,XSUM,BERT,-0.8706627021362904
2,XSUM,PG,-0.963317835573341
127,XSUM,BERT,-0.6095932618941754
116,XSUM,BERT,1.140228909931036
34,XSUM,PG,-0.963317835573341
28,XSUM,BERT,-1.2343097764494633
134,XSUM,BERT,-0.1331632442062521
70,XSUM,BERT,-1.1827417509140385
23,XSUM,BERT,0.5335911002041042
12,XSUM,PG,-1.3536119291342146
99,XSUM,PG,-0.17921785628780265
108,XSUM,PG,-1.117818896546682
129,XSUM,BERT,-1.270079058807675
5,XSUM,PG,0.24623584733896642
62,XSUM,BERT,1.1613359504248264
86,XSUM,PG,-1.1599092219400715
38,XSUM,BERT,-0.36549629075539203
96,XSUM,BERT,0.515696373072509
130,XSUM,BERT,1.4413818890598107
36,XSUM,PG,-1.3002149984404097
35,XSUM,PG,-0.774479795794336
32,XSUM,PG,-1.3425574346087876
58,XSUM,BERT,-0.9363226858881823
35,XSUM,BERT,-1.015758030815487
42,XSUM,PG,0.8968561935946768
59,XSUM,BERT,1.0016473898895173
66,XSUM,PG,-0.9370954539639705
83,XSUM,BERT,1.2305695994531483
25,XSUM,PG,-1.1332271527940954
15,XSUM,PG,-1.045586515968924
122,XSUM,PG,-0.1992749520932121
18,XSUM,BERT,0.6893502355567679
21,XSUM,BERT,-0.18082698723921284
85,XSUM,PG,1.0149013165783936
98,XSUM,PG,-0.9298187201554217
90,XSUM,BERT,-0.6418199381896621
80,XSUM,BERT,0.32195073038228555
1,XSUM,PG,-0.714487962361487
115,XSUM,BERT,-0.8462426479526123
36,XSUM,BERT,-1.255399886724707
71,XSUM,PG,-0.9762901881855717
129,XSUM,PG,-0.7893108177472602
128,XSUM,PG,-1.0199882946767842
78,XSUM,PG,-0.5232254376708224
39,XSUM,BERT,-0.4200556422804495
14,XSUM,PG,0.16884212977881227
88,XSUM,PG,-0.7676454138969059
77,XSUM,BERT,-1.3079284616894233
29,XSUM,PG,0.06769096858461161
16,XSUM,PG,-0.3213967542037775
26,XSUM,BERT,1.1167055691083452
133,XSUM,PG,-1.3032146991448073
7,XSUM,BERT,0.29890412369086516
109,XSUM,PG,0.184301929872516
79,XSUM,BERT,0.7348446807081905
125,XSUM,PG,-1.2689484825609265
52,XSUM,BERT,-1.2485852856097706
53,XSUM,BERT,-0.14572201303643376
131,XSUM,PG,-1.1874956947563025
73,XSUM,PG,-0.07305210204818124
104,XSUM,BERT,1.0135900499256745
38,XSUM,PG,-0.1631579458011294
93,XSUM,BERT,0.16787180954946612
116,XSUM,PG,0.5497377620946459
46,XSUM,PG,-0.2387148967371401
6,XSUM,BERT,0.6955376627129312
11,XSUM,BERT,-0.27599306932466294
63,XSUM,PG,-1.2485852856097706
134,XSUM,PG,0.32134766740476356
84,XSUM,BERT,0.021141824319175304
47,XSUM,BERT,0.18917070182756343
121,XSUM,PG,-1.2689484825609265
98,XSUM,BERT,-0.928176553128687
113,XSUM,PG,1.0616319613367666
69,XSUM,BERT,-0.036737258673406124
12,XSUM,BERT,-1.2689484825609265
112,XSUM,PG,-1.2193428951484904
100,XSUM,PG,-0.7130705727278545
115,XSUM,PG,-1.254384053259402
90,XSUM,PG,-1.0290044980619404
67,XSUM,PG,-0.2946873516699565
24,XSUM,BERT,-0.11471354070967689
68,XSUM,BERT,-1.254384053259402
123,XSUM,BERT,0.8983329642460842
51,XSUM,PG,-1.179257534860248
9,XSUM,BERT,-0.9825199394325992
94,XSUM,BERT,-1.254384053259402
119,XSUM,BERT,-0.9405776386746006
57,XSUM,PG,-1.254384053259402
25,XSUM,BERT,-1.2193428951484904
30,XSUM,PG,1.4155993068825194
123,XSUM,PG,-0.19814092147333637
81,XSUM,BERT,0.7239522522804002
56,XSUM,PG,-0.8143573026357865
91,XSUM,PG,-0.40652763132609415
85,XSUM,BERT,1.2239003021401202
40,XSUM,PG,0.41016258798034283
55,XSUM,BERT,1.6073262007023261
104,XSUM,PG,0.5611960640053734
87,XSUM,BERT,0.3559653442483281
128,XSUM,BERT,-0.29541192855036585
8,XSUM,BERT,1.8742466982517616
101,XSUM,BERT,1.2583702016569418
11,XSUM,PG,-0.5582779436395671
84,XSUM,PG,-0.935155971138416
130,XSUM,PG,-1.2582074847889109
33,XSUM,BERT,-0.24353550278844574
89,XSUM,BERT,-1.1144645336954946
111,XSUM,BERT,0.9400315241006334
41,XSUM,PG,-1.3489241996126307
41,XSUM,BERT,-1.3029759840792396
47,XSUM,PG,-1.1998583150569553
94,XSUM,PG,-1.1654726965584217
96,XSUM,PG,-1.2941530883611108
131,XSUM,BERT,1.4280895786786874
80,XSUM,PG,0.3080072722138896
61,XSUM,PG,-0.25380359374413564
92,XSUM,PG,-0.6243094793199057
53,XSUM,PG,-1.1735350546153425
118,XSUM,PG,-0.584679577027812
30,XSUM,BERT,1.691953011989386
63,XSUM,BERT,-0.042952307938801115
3,XSUM,PG,1.2024591841057057
34,XSUM,BERT,-0.47318401464513465
111,XSUM,PG,1.2882211457385138
46,XSUM,BERT,-1.16222841459985
76,XSUM,PG,-0.11357995390222264
75,XSUM,BERT,0.5119906891575708
45,XSUM,PG,-1.1245703852896323
67,XSUM,BERT,-0.38299439296365295
132,XSUM,PG,-0.6062894486527409
10,XSUM,PG,0.2756965030368554
42,XSUM,BERT,0.7943537125115189
76,XSUM,BERT,1.2236443982850111
68,XSUM,PG,0.09743313063588076
23,XSUM,PG,-0.09033492644918639
17,XSUM,PG,-1.114714276682285
0,XSUM,PG,-0.21289083171295786
110,XSUM,PG,-0.8735835492220366
49,XSUM,BERT,0.6269969311726267
58,XSUM,PG,-0.685843680830161
95,XSUM,PG,0.009549497140009336
50,XSUM,BERT,-0.8456917081480816
32,XSUM,BERT,-0.08195535620850225
113,XSUM,BERT,0.626246032431345
117,XSUM,BERT,-1.161512744856968
125,XSUM,BERT,-0.8325324982852113
7,XSUM,PG,0.5378163979136114
55,XSUM,PG,-1.3852193125257628
114,XSUM,PG,-0.507267949343534
112,XSUM,BERT,-0.504974492361759
16,XSUM,BERT,0.742467598776392
122,XSUM,BERT,1.2684384648414884
3,XSUM,BERT,0.635720407771857
97,XSUM,BERT,-0.34230470725798595
65,XSUM,PG,-0.6602096914335125
27,XSUM,BERT,-1.503652201291595
124,XSUM,PG,-1.4246969421143734
56,XSUM,BERT,-1.1712005680332702
10,XSUM,BERT,0.5230421183180117
60,XSUM,BERT,-0.15633646714380936
60,XSUM,PG,-1.2023954452048837
19,XSUM,PG,1.000826182488472
117,XSUM,PG,-1.2023954452048837
102,XSUM,PG,-1.1173553833720675
27,XSUM,PG,-0.3939000294623605
91,XSUM,BERT,1.6208359982870808
97,XSUM,PG,-0.9908226955100513
105,XSUM,PG,0.2354804358533871
120,XSUM,PG,-0.4930522049523705
106,XSUM,PG,-1.1929465494456821
126,XSUM,PG,-0.09841287020767724
19,XSUM,BERT,-0.2669547650439061
93,XSUM,PG,-1.1834976536864803
118,XSUM,BERT,0.5253737272670077
127,XSUM,PG,0.29939360916575725
13,XSUM,BERT,-1.098457591853664
18,XSUM,PG,-0.9661730512248389
43,XSUM,BERT,-1.2023954452048837
65,XSUM,BERT,-0.21229193455822007
88,XSUM,BERT,0.01883039926250396
69,XSUM,PG,0.13106059978315895
103,XSUM,BERT,1.2464518733160581
73,XSUM,BERT,1.3152665847922262
74,XSUM,BERT,-0.04192128589146926
133,XSUM,BERT,-1.0889237997209378
29,XSUM,BERT,0.7750086761061169
5,XSUM,BERT,0.44867116160616755
57,XSUM,BERT,0.6709722291245718
70,XSUM,PG,-0.8213279192676813
89,XSUM,PG,-0.8100887450349316
82,XSUM,PG,-1.326786804568277
79,XSUM,PG,-1.6538484362333683
37,XSUM,BERT,-0.3693880734089119
106,XSUM,BERT,-0.294650728541767
13,XSUM,PG,-1.5795162472185744
51,XSUM,BERT,-0.7767286058588053
21,XSUM,PG,-0.16582464823576618
28,XSUM,PG,-1.6687148740363267
71,XSUM,BERT,0.9749734553482193
81,XSUM,PG,-0.1378661036071348
